node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G18,XNOR2_X1,N18,False,4.667,0.1250035,0.1116695,0.2570095,0.24367550000000002,0.22766849999999988,0.22766849999999988,-0.029341000000000117,-0.016007000000000132,-0.029341000000000117
G19,NAND3_X1,N19,False,3.667,0.085337,0.089671,0.204337,0.221677,0.22766849999999988,0.22766849999999988,0.023331499999999894,0.005991499999999872,0.005991499999999872
G20,NOR3_X1,N20,False,4.0,0.127,0.07200000000000001,0.246,0.203,0.2630009999999999,0.26100449999999986,0.017000999999999877,0.05800449999999985,0.017000999999999877
G21,AND3_X1,N21,False,4.0,0.1,0.091,0.229,0.196,0.2630009999999999,0.26100449999999986,0.034000999999999865,0.06500449999999985,0.034000999999999865
G22,OR3_X1,N22,False,4.0,0.114,0.095,0.23800000000000002,0.2,0.2880044999999999,0.26100449999999986,0.05000449999999987,0.06100449999999985,0.05000449999999987
G23,INV_X1,N23,False,4.0,0.051000000000000004,0.038000000000000006,0.19099700000000003,0.15749050000000003,0.2880044999999999,0.30133849999999984,0.09700749999999986,0.1438479999999998,0.09700749999999986
G24,BUF_X1,N24,False,1.667,0.041669,0.0351685,0.2986785,0.27884400000000004,0.2880044999999999,0.30133849999999984,-0.010674000000000128,0.022494499999999806,-0.010674000000000128
G25,NAND2_X1,N25,False,3.6660000000000004,0.068493,0.06099400000000001,0.23699299999999998,0.246994,0.35434200000000005,0.34634200000000004,0.11734900000000006,0.09934800000000005,0.09934800000000005
G26,NOR2_X1,N26,False,4.0,0.094,0.06,0.2718355,0.255336,0.3936839999999999,0.3945139999999999,0.12184849999999992,0.1391779999999999,0.12184849999999992
G27,XOR2_X1,N27,False,3.667,0.10866999999999999,0.097336,0.3190005,0.30766650000000006,0.41065599999999997,0.40950149999999996,0.09165549999999995,0.1018349999999999,0.09165549999999995
G28,AND2_X1,N28,False,3.333,0.07666400000000001,0.0696645,0.30266400000000004,0.28566450000000004,0.41065599999999997,0.41065599999999997,0.10799199999999992,0.12499149999999992,0.10799199999999992
G29,OR2_X1,N29,False,7.666,0.12316100000000002,0.099829,0.3801705,0.3435045,0.35434200000000005,0.34634200000000004,-0.025828499999999976,0.0028375000000000483,-0.025828499999999976
G30,XNOR2_X1,N30,False,4.667,0.1250035,0.1116695,0.382013,0.368679,0.3526719999999999,0.3526719999999999,-0.029341000000000117,-0.016007000000000104,-0.029341000000000117
G31,NAND3_X1,N31,False,3.667,0.085337,0.089671,0.307014,0.335671,0.3526719999999999,0.3526719999999999,0.045657999999999865,0.017000999999999877,0.017000999999999877
G32,NOR3_X1,N32,False,4.0,0.127,0.07200000000000001,0.33,0.318,0.38800449999999986,0.39233849999999987,0.05800449999999985,0.07433849999999986,0.05800449999999985
G33,AND3_X1,N33,False,4.0,0.1,0.091,0.39867850000000005,0.36984400000000006,0.38800449999999986,0.39233849999999987,-0.010674000000000183,0.022494499999999806,-0.010674000000000183
G34,OR3_X1,N34,False,4.0,0.114,0.095,0.4941705,0.43850449999999996,0.46834200000000004,0.441342,-0.025828499999999976,0.0028375000000000483,-0.025828499999999976
G35,INV_X1,N35,False,1.667,0.030003000000000002,0.0228355,0.285339,0.294671,0.46834200000000004,0.4586779999999999,0.18300300000000003,0.1640069999999999,0.1640069999999999
G36,BUF_X1,N36,False,1.667,0.041669,0.0351685,0.423682,0.40384749999999997,0.46834200000000004,0.4586779999999999,0.04466000000000003,0.05483049999999995,0.04466000000000003
G37,NAND2_X1,N37,False,3.6660000000000004,0.068493,0.06099400000000001,0.32382900000000003,0.3328295,0.46300699999999995,0.4546779999999999,0.1391779999999999,0.12184849999999992,0.12184849999999992
G38,NOR2_X1,N38,False,4.0,0.094,0.06,0.40166650000000004,0.3790005,0.5035014999999999,0.5103345,0.1018349999999999,0.131334,0.1018349999999999
G39,XOR2_X1,N39,False,3.667,0.10866999999999999,0.097336,0.4276705,0.4163365,0.519326,0.519326,0.09165549999999995,0.10298949999999996,0.09165549999999995
G40,AND2_X1,N40,False,3.333,0.07666400000000001,0.0696645,0.45683450000000003,0.413169,0.519326,0.519326,0.06249149999999992,0.10615699999999995,0.06249149999999992
G41,OR2_X1,N41,False,5.333,0.1033305,0.0846645,0.4853435,0.4533435,0.46300699999999995,0.4546779999999999,-0.022336500000000037,0.0013344999999999052,-0.022336500000000037
G42,XNOR2_X1,N42,False,4.667,0.1250035,0.1116695,0.5070165,0.4936825,0.47767549999999986,0.47767549999999986,-0.029341000000000117,-0.01600700000000016,-0.029341000000000117
G43,NAND3_X1,N43,False,3.667,0.085337,0.089671,0.45518100000000006,0.48834950000000005,0.47767549999999986,0.47767549999999986,0.022494499999999806,-0.010674000000000183,-0.010674000000000183
G44,NOR3_X1,N44,False,4.0,0.127,0.07200000000000001,0.5655045,0.5661705,0.568342,0.5496779999999999,0.0028375000000000483,-0.016492500000000132,-0.016492500000000132
