sample,circuit_state,global_z,resamples,circuit_delay_ns,wns_ns,tns_ns,violation,critical_path_id,critical_path
1633,pre_optimization,-1.7525699820072307,0,0.2997781914994692,0.015221808500530787,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1633,post_optimization,-1.7525699820072307,0,0.2846477706614994,0.030352229338500625,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1634,pre_optimization,0.4709359280214348,0,0.3187909836710461,-0.0037909836710460776,-0.0037909836710460776,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1634,post_optimization,0.4709359280214348,0,0.3071429635265281,0.007857036473471912,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1635,pre_optimization,1.4387358219674589,0,0.33059497010574845,-0.015594970105748451,-0.015594970105748451,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1635,post_optimization,1.4387358219674589,0,0.3165024720100587,-0.0015024720100587086,-0.0015024720100587086,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1636,pre_optimization,-0.9981757552749756,0,0.3204214840739015,-0.0054214840739014725,-0.0054214840739014725,True,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1636,post_optimization,-0.9981757552749756,0,0.30306938933972016,0.011930610660279839,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1637,pre_optimization,0.2731602702416457,0,0.32459182956080423,-0.009591829560804233,-0.009591829560804233,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1637,post_optimization,0.2731602702416457,0,0.3135004615555959,0.0014995384444040916,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1638,pre_optimization,0.49377401276474103,0,0.3289520309326299,-0.013952030932629922,-0.013952030932629922,True,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1638,post_optimization,0.49377401276474103,0,0.3125066160089095,0.002493383991090503,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1639,pre_optimization,0.6415448107112369,0,0.3145592822861533,0.00044071771384668335,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1639,post_optimization,0.6415448107112369,0,0.29898009200393283,0.016019907996067173,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1640,pre_optimization,0.9814475800985452,0,0.3260685949349578,-0.01106859493495782,-0.01106859493495782,True,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1640,post_optimization,0.9814475800985452,0,0.30766101564132353,0.00733898435867647,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1641,pre_optimization,-2.55919346158328,0,0.29236185938244685,0.02263814061755315,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1641,post_optimization,-2.55919346158328,0,0.28120196125016506,0.03379803874983495,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1642,pre_optimization,0.14049173024212075,0,0.31963619036192725,-0.00463619036192725,-0.00463619036192725,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1642,post_optimization,0.14049173024212075,0,0.3064074578835955,0.008592542116404478,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1643,pre_optimization,0.6047929882069413,0,0.32705506584801414,-0.012055065848014135,-0.012055065848014135,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1643,post_optimization,0.6047929882069413,0,0.3158000927006782,-0.0008000927006782121,-0.0008000927006782121,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1644,pre_optimization,0.34888892996104814,0,0.3228343264333605,-0.007834326433360517,-0.007834326433360517,True,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1644,post_optimization,0.34888892996104814,0,0.30500722401813785,0.009992775981862156,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1645,pre_optimization,1.6475256150388027,0,0.3390809666978755,-0.024080966697875517,-0.024080966697875517,True,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1645,post_optimization,1.6475256150388027,0,0.32156369168283094,-0.006563691682830941,-0.006563691682830941,True,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1646,pre_optimization,0.31388984357101596,0,0.3308517224780313,-0.015851722478031294,-0.015851722478031294,True,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1646,post_optimization,0.31388984357101596,0,0.3105331298308207,0.004466870169179293,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1647,pre_optimization,-0.8287068646667693,0,0.3080382061342788,0.006961793865721211,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1647,post_optimization,-0.8287068646667693,0,0.28951739455641334,0.02548260544358666,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1648,pre_optimization,-0.5889503721139074,0,0.3102073864830701,0.004792613516929889,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1648,post_optimization,-0.5889503721139074,0,0.2918071418264362,0.023192858173563813,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1649,pre_optimization,-1.2842267550542412,0,0.3037829214800143,0.011217078519985713,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
