node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G27,OR2_X1,R1_9,False,1.0,0.0665,0.0565,0.21516400000000002,0.1846645,0.4326580000000001,0.4506580000000001,0.21749400000000008,0.2659935000000001,0.21749400000000008
G28,AND2_X1,R2_1,False,1.667,0.063336,0.0588355,0.297338,0.25449700000000003,0.3836580000000001,0.3956580000000001,0.08632000000000012,0.1411610000000001,0.08632000000000012
G29,OR2_X1,R2_2,False,1.667,0.0721695,0.0608355,0.3838395,0.36517150000000004,0.3836580000000001,0.3956580000000001,-0.00018149999999989008,0.030486500000000083,-0.00018149999999989008
G30,XOR2_X1,R2_3,False,2.0,0.092,0.084,0.514018,0.506018,0.36665800000000015,0.36665800000000015,-0.14735999999999982,-0.13935999999999982,-0.14735999999999982
G31,XNOR2_X1,R2_4,False,2.0,0.097,0.089,0.39698600000000006,0.38898600000000005,0.36665800000000015,0.36665800000000015,-0.03032799999999991,-0.022327999999999903,-0.03032799999999991
G32,BUF_X1,R2_5,False,1.0,0.037,0.0315,0.252164,0.2161645,0.4696580000000001,0.4821580000000001,0.21749400000000008,0.2659935000000001,0.21749400000000008
G33,OR2_X1,R3_1,False,2.0,0.07500000000000001,0.063,0.4588395,0.42817150000000004,0.4586580000000001,0.4586580000000001,-0.00018149999999989008,0.030486500000000083,-0.00018149999999989008
G34,XOR2_X1,R3_2,False,2.0,0.092,0.084,0.606018,0.5980179999999999,0.4586580000000001,0.4586580000000001,-0.14735999999999982,-0.13935999999999982,-0.14735999999999982
G35,BUF_X1,R3_3,False,1.0,0.037,0.0315,0.289164,0.2476645,0.506658,0.5136580000000001,0.21749400000000008,0.26599350000000005,0.21749400000000008
G36,XOR2_X1,R4_1,False,2.0,0.092,0.084,0.6980179999999999,0.6900179999999999,0.5506580000000001,0.5506580000000001,-0.14735999999999982,-0.13935999999999982,-0.14735999999999982
G37,BUF_X1,R4_2,False,2.0,0.044,0.037,0.33316399999999996,0.2846645,0.5506580000000001,0.5506580000000001,0.21749400000000013,0.2659935000000001,0.21749400000000013
G38,XNOR2_X1,R5_1,False,13.334,0.216007,0.185339,0.9140249999999999,0.883357,0.766665,0.766665,-0.14735999999999982,-0.1166919999999999,-0.14735999999999982
G39,NAND2_X1,B1_1,False,1.667,0.047503500000000004,0.043003,0.9308605,0.9570279999999999,0.8336650000000001,0.8126650000000002,-0.09719549999999988,-0.14436299999999969,-0.14436299999999969
